codes	variant_count	freq	main	total	total_label	platforms	orientation	sub
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM2	27	~38%	27	70	(70)	Clingen_vs_SEQ	up	main
PM2	43	~38%	27	70	(70)	Clingen_vs_SEQ	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PM5	6	~100%	6	6	(6)	Clingen_vs_SEQ	up	main
PM5	0	~100%	6	6	(6)	Clingen_vs_SEQ	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP2	24	~92%	24	26	(26)	Clingen_vs_SEQ	up	main
PP2	2	~92%	24	26	(26)	Clingen_vs_SEQ	up	total
PP3	50	~79%	50	63	(63)	Clingen_vs_SEQ	up	main
PP3	13	~79%	50	63	(63)	Clingen_vs_SEQ	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BA1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS1	76	~38%	76	197	(197)	Clingen_vs_SEQ	up	main
BS1	121	~38%	76	197	(197)	Clingen_vs_SEQ	up	total
BS2	2	~66%	2	3	(3)	Clingen_vs_SEQ	up	main
BS2	1	~66%	2	3	(3)	Clingen_vs_SEQ	up	total
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP4	71	~52%	71	135	(135)	Clingen_vs_SEQ	up	main
BP4	64	~52%	71	135	(135)	Clingen_vs_SEQ	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	up	total
BP6	342	~100%	342	342	(342)	Clingen_vs_SEQ	up	main
BP6	0	~100%	342	342	(342)	Clingen_vs_SEQ	up	total
BP7	17	~17%	17	98	(98)	Clingen_vs_SEQ	up	main
BP7	81	~17%	17	98	(98)	Clingen_vs_SEQ	up	total
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PVS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PS1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PS2	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PS3	1	~100%	1	1	(1)	Clingen_vs_SEQ	down	main
PS3	0	~100%	1	1	(1)	Clingen_vs_SEQ	down	total
PS4	5	~100%	5	5	(5)	Clingen_vs_SEQ	down	main
PS4	0	~100%	5	5	(5)	Clingen_vs_SEQ	down	total
PM1	9	~100%	9	9	(9)	Clingen_vs_SEQ	down	main
PM1	0	~100%	9	9	(9)	Clingen_vs_SEQ	down	total
PM2	7	~14%	7	50	(50)	Clingen_vs_SEQ	down	main
PM2	43	~14%	7	50	(50)	Clingen_vs_SEQ	down	total
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM4	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PM5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PM6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
PP1	3	~100%	3	3	(3)	Clingen_vs_SEQ	down	main
PP1	0	~100%	3	3	(3)	Clingen_vs_SEQ	down	total
PP2	4	~66%	4	6	(6)	Clingen_vs_SEQ	down	main
PP2	2	~66%	4	6	(6)	Clingen_vs_SEQ	down	total
PP3	0	~0%	0	13	(13)	Clingen_vs_SEQ	down	main
PP3	13	~0%	0	13	(13)	Clingen_vs_SEQ	down	total
PP4	1	~100%	1	1	(1)	Clingen_vs_SEQ	down	main
PP4	0	~100%	1	1	(1)	Clingen_vs_SEQ	down	total
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
PP5	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BA1	2	~100%	2	2	(2)	Clingen_vs_SEQ	down	main
BA1	0	~100%	2	2	(2)	Clingen_vs_SEQ	down	total
BS1	29	~19%	29	150	(150)	Clingen_vs_SEQ	down	main
BS1	121	~19%	29	150	(150)	Clingen_vs_SEQ	down	total
BS2	102	~99%	102	103	(103)	Clingen_vs_SEQ	down	main
BS2	1	~99%	102	103	(103)	Clingen_vs_SEQ	down	total
BS3	82	~100%	82	82	(82)	Clingen_vs_SEQ	down	main
BS3	0	~100%	82	82	(82)	Clingen_vs_SEQ	down	total
BS4	3	~100%	3	3	(3)	Clingen_vs_SEQ	down	main
BS4	0	~100%	3	3	(3)	Clingen_vs_SEQ	down	total
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP1	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP2	16	~100%	16	16	(16)	Clingen_vs_SEQ	down	main
BP2	0	~100%	16	16	(16)	Clingen_vs_SEQ	down	total
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP3	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP4	130	~67%	130	194	(194)	Clingen_vs_SEQ	down	main
BP4	64	~67%	130	194	(194)	Clingen_vs_SEQ	down	total
BP5	25	~100%	25	25	(25)	Clingen_vs_SEQ	down	main
BP5	0	~100%	25	25	(25)	Clingen_vs_SEQ	down	total
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	main
BP6	0	~0%	0	0	(0)	Clingen_vs_SEQ	down	total
BP7	28	~25%	28	109	(109)	Clingen_vs_SEQ	down	main
BP7	81	~25%	28	109	(109)	Clingen_vs_SEQ	down	total
PVS1	2	~100%	2	2	(2)	Clingen_vs_Franklin	up	main
PVS1	0	~100%	2	2	(2)	Clingen_vs_Franklin	up	total
PS1	1	~100%	1	1	(1)	Clingen_vs_Franklin	up	main
PS1	0	~100%	1	1	(1)	Clingen_vs_Franklin	up	total
PS2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PS2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PS3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PS3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PS4	1	~100%	1	1	(1)	Clingen_vs_Franklin	up	main
PS4	0	~100%	1	1	(1)	Clingen_vs_Franklin	up	total
PM1	2	~100%	2	2	(2)	Clingen_vs_Franklin	up	main
PM1	0	~100%	2	2	(2)	Clingen_vs_Franklin	up	total
PM2	217	~81%	217	265	(265)	Clingen_vs_Franklin	up	main
PM2	48	~81%	217	265	(265)	Clingen_vs_Franklin	up	total
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PM4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PM4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PM5	11	~100%	11	11	(11)	Clingen_vs_Franklin	up	main
PM5	0	~100%	11	11	(11)	Clingen_vs_Franklin	up	total
PM6	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PM6	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PP2	80	~93%	80	86	(86)	Clingen_vs_Franklin	up	main
PP2	6	~93%	80	86	(86)	Clingen_vs_Franklin	up	total
PP3	28	~73%	28	38	(38)	Clingen_vs_Franklin	up	main
PP3	10	~73%	28	38	(38)	Clingen_vs_Franklin	up	total
PP4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
PP4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
PP5	1	~100%	1	1	(1)	Clingen_vs_Franklin	up	main
PP5	0	~100%	1	1	(1)	Clingen_vs_Franklin	up	total
BA1	11	~100%	11	11	(11)	Clingen_vs_Franklin	up	main
BA1	0	~100%	11	11	(11)	Clingen_vs_Franklin	up	total
BS1	2	~5%	2	39	(39)	Clingen_vs_Franklin	up	main
BS1	37	~5%	2	39	(39)	Clingen_vs_Franklin	up	total
BS2	30	~73%	30	41	(41)	Clingen_vs_Franklin	up	main
BS2	11	~73%	30	41	(41)	Clingen_vs_Franklin	up	total
BS3	0	~0%	0	75	(75)	Clingen_vs_Franklin	up	main
BS3	75	~0%	0	75	(75)	Clingen_vs_Franklin	up	total
BS4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BS4	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP2	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP3	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP4	19	~35%	19	54	(54)	Clingen_vs_Franklin	up	main
BP4	35	~35%	19	54	(54)	Clingen_vs_Franklin	up	total
BP5	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	main
BP5	0	~0%	0	0	(0)	Clingen_vs_Franklin	up	total
BP6	350	~100%	350	350	(350)	Clingen_vs_Franklin	up	main
BP6	0	~100%	350	350	(350)	Clingen_vs_Franklin	up	total
BP7	39	~29%	39	132	(132)	Clingen_vs_Franklin	up	main
BP7	93	~29%	39	132	(132)	Clingen_vs_Franklin	up	total
PVS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PVS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PS1	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PS2	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PS2	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PS3	1	~100%	1	1	(1)	Clingen_vs_Franklin	down	main
PS3	0	~100%	1	1	(1)	Clingen_vs_Franklin	down	total
PS4	5	~100%	5	5	(5)	Clingen_vs_Franklin	down	main
PS4	0	~100%	5	5	(5)	Clingen_vs_Franklin	down	total
PM1	9	~100%	9	9	(9)	Clingen_vs_Franklin	down	main
PM1	0	~100%	9	9	(9)	Clingen_vs_Franklin	down	total
PM2	2	~4%	2	50	(50)	Clingen_vs_Franklin	down	main
PM2	48	~4%	2	50	(50)	Clingen_vs_Franklin	down	total
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PM3	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PM4	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PM4	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PM5	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PM5	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PM6	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PM6	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
PP1	3	~100%	3	3	(3)	Clingen_vs_Franklin	down	main
PP1	0	~100%	3	3	(3)	Clingen_vs_Franklin	down	total
PP2	0	~0%	0	6	(6)	Clingen_vs_Franklin	down	main
PP2	6	~0%	0	6	(6)	Clingen_vs_Franklin	down	total
PP3	3	~23%	3	13	(13)	Clingen_vs_Franklin	down	main
PP3	10	~23%	3	13	(13)	Clingen_vs_Franklin	down	total
PP4	1	~100%	1	1	(1)	Clingen_vs_Franklin	down	main
PP4	0	~100%	1	1	(1)	Clingen_vs_Franklin	down	total
PP5	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
PP5	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
BA1	2	~100%	2	2	(2)	Clingen_vs_Franklin	down	main
BA1	0	~100%	2	2	(2)	Clingen_vs_Franklin	down	total
BS1	113	~75%	113	150	(150)	Clingen_vs_Franklin	down	main
BS1	37	~75%	113	150	(150)	Clingen_vs_Franklin	down	total
BS2	92	~89%	92	103	(103)	Clingen_vs_Franklin	down	main
BS2	11	~89%	92	103	(103)	Clingen_vs_Franklin	down	total
BS3	7	~8%	7	82	(82)	Clingen_vs_Franklin	down	main
BS3	75	~8%	7	82	(82)	Clingen_vs_Franklin	down	total
BS4	3	~100%	3	3	(3)	Clingen_vs_Franklin	down	main
BS4	0	~100%	3	3	(3)	Clingen_vs_Franklin	down	total
BP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
BP1	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
BP2	16	~100%	16	16	(16)	Clingen_vs_Franklin	down	main
BP2	0	~100%	16	16	(16)	Clingen_vs_Franklin	down	total
BP3	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
BP3	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
BP4	159	~82%	159	194	(194)	Clingen_vs_Franklin	down	main
BP4	35	~82%	159	194	(194)	Clingen_vs_Franklin	down	total
BP5	25	~100%	25	25	(25)	Clingen_vs_Franklin	down	main
BP5	0	~100%	25	25	(25)	Clingen_vs_Franklin	down	total
BP6	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	main
BP6	0	~0%	0	0	(0)	Clingen_vs_Franklin	down	total
BP7	16	~14%	16	109	(109)	Clingen_vs_Franklin	down	main
BP7	93	~14%	16	109	(109)	Clingen_vs_Franklin	down	total
