index	precision	recall	f1-score	platform	reference
PVS1	0.9938080495356038	0.9697885196374623	0.9816513761467891	seq	P
PS1	0.2	0.3333333333333333	0.25	seq	P
PM1	0.3969849246231156	0.395	0.39598997493734334	seq	P
PM2	0.9328467153284672	0.9076704545454546	0.9200863930885529	seq	P
PM4	1.0	0.16666666666666666	0.2857142857142857	seq	P
PM5	0.33976833976833976	0.7719298245614035	0.4718498659517426	seq	P
PP2	0.7171717171717171	0.6228070175438597	0.6666666666666667	seq	P
PP3	0.8316831683168316	0.9333333333333333	0.8795811518324607	seq	P
PVS1	0.9907407407407407	0.9553571428571429	0.9727272727272727	seq	LP
PS1	0.2727272727272727	0.75	0.39999999999999997	seq	LP
PM1	0.26424870466321243	0.37777777777777777	0.31097560975609756	seq	LP
PM2	0.9067669172932331	0.9648	0.9348837209302326	seq	LP
PM5	0.3840304182509506	0.8782608695652174	0.5343915343915343	seq	LP
PP2	0.38461538461538464	0.40540540540540543	0.39473684210526316	seq	LP
PP3	0.813953488372093	0.9292035398230089	0.8677685950413223	seq	LP
BP4	0.03125	1.0	0.06060606060606061	seq	LP
PVS1	0.7	0.7777777777777778	0.7368421052631577	seq	VUS
PM1	0.37037037037037035	0.2777777777777778	0.3174603174603175	seq	VUS
PM2	0.7392438070404173	0.9	0.8117394416607016	seq	VUS
PM4	1.0	0.3333333333333333	0.5	seq	VUS
PM5	0.3	0.9411764705882353	0.4549763033175355	seq	VUS
PP2	0.2054794520547945	0.2727272727272727	0.234375	seq	VUS
PP3	0.6267071320182094	0.9343891402714932	0.7502270663033606	seq	VUS
BS1	0.10576923076923077	0.4782608695652174	0.17322834645669294	seq	VUS
BS2	0.3333333333333333	0.027777777777777776	0.05128205128205128	seq	VUS
BP4	0.29310344827586204	0.5151515151515151	0.3736263736263736	seq	VUS
BP7	0.5454545454545454	0.4444444444444444	0.4897959183673469	seq	VUS
PM2	0.6142857142857143	0.86	0.7166666666666668	seq	LB
PP2	0.07692307692307693	0.3333333333333333	0.125	seq	LB
PP3	0.20634920634920634	1.0	0.34210526315789475	seq	LB
BS1	0.6142131979695431	0.8066666666666666	0.6974063400576368	seq	LB
BS2	0.3333333333333333	0.009708737864077669	0.018867924528301886	seq	LB
BP4	0.4740740740740741	0.32989690721649484	0.3890577507598784	seq	LB
BP7	0.826530612244898	0.7431192660550459	0.782608695652174	seq	LB
PP2	0.14285714285714285	1.0	0.25	seq	B
PP3	0.1	0.75	0.17647058823529416	seq	B
BA1	1.0	0.1309255079006772	0.23153692614770457	seq	B
BS1	0.10930232558139535	0.9791666666666666	0.19665271966527198	seq	B
BS2	0.11170212765957446	0.26582278481012656	0.15730337078651685	seq	B
BP4	0.3006993006993007	0.41346153846153844	0.3481781376518218	seq	B
BP7	0.25874125874125875	0.578125	0.357487922705314	seq	B
PVS1	0.9897610921501706	0.8761329305135952	0.9294871794871794	franklin	P
PS1	0.09375	0.2	0.12765957446808512	franklin	P
PS2	1.0	0.84375	0.9152542372881356	franklin	P
PS3	1.0	0.8175438596491228	0.8996138996138997	franklin	P
PS4	0.9890510948905109	0.799410029498525	0.8841761827079935	franklin	P
PM1	0.48773006134969327	0.795	0.6045627376425856	franklin	P
PM2	0.8960468521229868	0.8693181818181818	0.882480173035328	franklin	P
PM4	1.0	0.16666666666666666	0.2857142857142857	franklin	P
PM5	0.2971887550200803	0.6491228070175439	0.40771349862258954	franklin	P
PM6	1.0	0.9318181818181818	0.9647058823529412	franklin	P
PP1	1.0	0.7973568281938326	0.8872549019607843	franklin	P
PP2	0.3	0.7894736842105263	0.4347826086956521	franklin	P
PP3	0.8370165745856354	0.8416666666666667	0.8393351800554018	franklin	P
PVS1	0.9696969696969697	0.8571428571428571	0.9099526066350709	franklin	LP
PS1	0.1111111111111111	0.5	0.1818181818181818	franklin	LP
PS2	1.0	0.7727272727272727	0.8717948717948718	franklin	LP
PS3	1.0	0.8294573643410853	0.9067796610169491	franklin	LP
PS4	0.9810126582278481	0.7828282828282829	0.8707865168539327	franklin	LP
PM1	0.26628895184135976	0.6962962962962963	0.38524590163934425	franklin	LP
PM2	0.8992	0.8992	0.8992000000000001	franklin	LP
PM5	0.313953488372093	0.7043478260869566	0.4343163538873995	franklin	LP
PM6	1.0	0.8888888888888888	0.9411764705882353	franklin	LP
PP1	1.0	0.7723577235772358	0.8715596330275228	franklin	LP
PP2	0.07407407407407407	0.7567567567567568	0.13493975903614458	franklin	LP
PP3	0.8172268907563025	0.8606194690265486	0.8383620689655171	franklin	LP
BS3	1.0	1.0	1.0	franklin	LP
PVS1	0.5714285714285714	0.8888888888888888	0.6956521739130435	franklin	VUS
PS2	1.0	0.75	0.8571428571428571	franklin	VUS
PS3	1.0	0.8148148148148148	0.8979591836734693	franklin	VUS
PS4	0.9573170731707317	0.8351063829787234	0.8920454545454547	franklin	VUS
PM1	0.3688760806916426	0.5925925925925926	0.4547069271758436	franklin	VUS
PM2	0.6068660022148394	0.8698412698412699	0.7149380300065231	franklin	VUS
PM4	1.0	0.3333333333333333	0.5	franklin	VUS
PM5	0.22818791946308725	0.6666666666666666	0.34	franklin	VUS
PM6	1.0	0.5	0.6666666666666666	franklin	VUS
PP1	1.0	0.8648648648648649	0.927536231884058	franklin	VUS
PP2	0.08755760368663594	0.6909090909090909	0.1554192229038855	franklin	VUS
PP3	0.6958955223880597	0.8438914027149321	0.7627811860940695	franklin	VUS
BA1	0.25	1.0	0.4	franklin	VUS
BS1	0.6666666666666666	0.43478260869565216	0.5263157894736841	franklin	VUS
BS2	0.23529411764705882	0.1111111111111111	0.1509433962264151	franklin	VUS
BS3	1.0	0.9166666666666666	0.9565217391304348	franklin	VUS
BP4	0.5384615384615384	0.21212121212121213	0.30434782608695654	franklin	VUS
BP7	0.2926829268292683	0.8888888888888888	0.4403669724770642	franklin	VUS
PM2	0.1811320754716981	0.96	0.30476190476190473	franklin	LB
PP2	0.06976744186046512	1.0	0.13043478260869565	franklin	LB
PP3	0.2631578947368421	0.7692307692307693	0.392156862745098	franklin	LB
BS1	0.9487179487179487	0.24666666666666667	0.39153439153439157	franklin	LB
BS2	0.2682926829268293	0.10679611650485436	0.15277777777777776	franklin	LB
BS3	1.0	0.9146341463414634	0.9554140127388536	franklin	LB
BP4	0.6481481481481481	0.18041237113402062	0.282258064516129	franklin	LB
BP7	0.7045454545454546	0.8532110091743119	0.7717842323651453	franklin	LB
PP2	0.039473684210526314	0.75	0.075	franklin	B
PP3	0.26666666666666666	1.0	0.4210526315789474	franklin	B
BA1	0.9957081545064378	0.5237020316027088	0.6863905325443788	franklin	B
BS1	0.08771929824561403	0.3125	0.136986301369863	franklin	B
BS2	0.14873417721518986	0.5949367088607594	0.2379746835443038	franklin	B
BS3	1.0	0.9666666666666667	0.983050847457627	franklin	B
BP4	0.3670886075949367	0.27884615384615385	0.31693989071038253	franklin	B
BP7	0.2209737827715356	0.921875	0.35649546827794565	franklin	B
